"lakename","year4","daynum","sampledate","depth","tn_ug","tp_ug","nh34","no23","po4"
"Paul Lake",1991,147,1991-05-27,0,483,8,18.981,10.299,8
"Paul Lake",1991,154,1991-06-03,0,512,17,20.736,5.934,4
"Peter Lake",1991,155,1991-06-04,0,573,5,21.533,3.818,4
"West Long Lake",1991,157,1991-06-06,0,490,4,26.585,2.465,4
"Paul Lake",1991,161,1991-06-10,0,421,11,20.303,11.381,6
"Peter Lake",1991,162,1991-06-11,0,296,9,14.579,6.827,4
"East Long Lake",1991,163,1991-06-12,0,470,16,21.366,9.308,15
"West Long Lake",1991,164,1991-06-13,0,497,20,24.333,6.376,6
"Paul Lake",1991,168,1991-06-17,0,474,8,6.441,2.375,5
"Peter Lake",1991,169,1991-06-18,0,321,8,5.749,2.429,4
"East Long Lake",1991,170,1991-06-19,0,480,19,7.02,2.877,4
"West Long Lake",1991,171,1991-06-20,0,454,16,5.4,1.817,3
"Paul Lake",1991,175,1991-06-24,0,400,9,19.559,1.55,4
"Peter Lake",1991,176,1991-06-25,0,292,4,5.817,1.51,4
"East Long Lake",1991,177,1991-06-26,0,514,17,15.947,2.442,6
"West Long Lake",1991,178,1991-06-27,0,523,11,24.45,3.249,3
"Paul Lake",1991,182,1991-07-01,0,506,9,21.958,11.954,7
"Peter Lake",1991,183,1991-07-02,0,346,10,12.448,2.742,7
"East Long Lake",1991,184,1991-07-03,0,538,14,14.687,4.295,5
"West Long Lake",1991,185,1991-07-04,0,489,16,18.946,7.886,12
"Paul Lake",1991,189,1991-07-08,0,341,11,18.406,5.232,3
"Peter Lake",1991,190,1991-07-09,0,266,5,9.495,8.907,12
"East Long Lake",1991,191,1991-07-10,0,405,15,13.776,3.102,2
"West Long Lake",1991,192,1991-07-11,0,430,20,14.614,2.719,2
"Paul Lake",1991,196,1991-07-15,0,436,9,21.606,3.5,3
"Peter Lake",1991,197,1991-07-16,0,490,9,24.334,5.071,4
"East Long Lake",1991,198,1991-07-17,0,599,10,23.377,4.245,4
"West Long Lake",1991,199,1991-07-18,0,542,6,17.852,3.95,4
"Paul Lake",1991,203,1991-07-22,0,431,6,20.225,3.863,0
"Peter Lake",1991,204,1991-07-23,0,364,7,17.35,3.003,1
"East Long Lake",1991,205,1991-07-24,0,523,13,14.443,2.612,2
"West Long Lake",1991,206,1991-07-25,0,530,13,17.856,2.493,0
"Paul Lake",1991,210,1991-07-29,0,442,9,8.904,2.993,1
"East Long Lake",1991,212,1991-07-31,0,580,8,9.771,2.694,0
"West Long Lake",1991,213,1991-08-01,0,457,14,6.836,1.991,0
"Paul Lake",1991,217,1991-08-05,0,380,11,8.653,1.32,8
"Peter Lake",1991,218,1991-08-06,0,288,10,4.556,0.463,2
"East Long Lake",1991,219,1991-08-07,0,440,15,9.219,0.674,5
"West Long Lake",1991,220,1991-08-08,0,472,14,14.861,2.025,3
"Paul Lake",1991,224,1991-08-12,0,383,7,16.211,0.314,0
"Peter Lake",1991,225,1991-08-13,0,317,12,8.638,0.579,1
"East Long Lake",1991,226,1991-08-14,0,442,15,11.581,0.427,1
"West Long Lake",1991,227,1991-08-15,0,498,10,12.349,0.099,0
"Paul Lake",1991,231,1991-08-19,0,415,8,11.667,1.685,5
"Peter Lake",1991,232,1991-08-20,0,280,12,9.608,1.294,5
"East Long Lake",1991,233,1991-08-21,0,518,10,14.012,1.234,7
"West Long Lake",1991,234,1991-08-22,0,459,8,12.775,2.138,7
"East Long Lake",1992,146,1992-05-25,0,615.76,14.3,34.71,7.07,6
"West Long Lake",1992,147,1992-05-26,0,522.53,7.74,19.26,0,29
"Paul Lake",1992,148,1992-05-27,0,301.32,22.62,6.22,0,0
"Peter Lake",1992,148,1992-05-27,0,272,5.65,15.02,0.08,11
"East Long Lake",1992,160,1992-06-08,0,490.53,20.71,11.45,3.33,4
"West Long Lake",1992,161,1992-06-09,0,325.03,2.69,17.27,2.35,3
"Paul Lake",1992,162,1992-06-10,0,299.61,7.39,9.94,4.92,3
"Peter Lake",1992,162,1992-06-10,0,258.24,8.3,8.16,1.36,4
"East Long Lake",1992,174,1992-06-22,0,735.41,19.4,14.61,5.17,8
"West Long Lake",1992,175,1992-06-23,0,303.17,3.08,10.24,1.45,6
"Paul Lake",1992,176,1992-06-24,0,182.91,8.78,8.13,2.47,6
"Peter Lake",1992,176,1992-06-24,0,219.72,0,10.81,1.81,6
"East Long Lake",1992,188,1992-07-06,0,523.37,17.79,13.96,4.23,4
"West Long Lake",1992,189,1992-07-07,0,517.3,13.23,6.8,4.32,7
"Paul Lake",1992,190,1992-07-08,0,191.37,36.07,17.27,18.06,3
"Peter Lake",1992,190,1992-07-08,0,329.07,13.68,7.58,5.37,5
"East Long Lake",1992,202,1992-07-20,0,657.69,17.19,14.8,3.93,9
"West Long Lake",1992,203,1992-07-21,0,479.31,7.92,7.83,1.84,6
"Paul Lake",1992,204,1992-07-22,0,442.31,19.65,12.59,1.9,6
"Peter Lake",1992,204,1992-07-22,0,292.63,11.23,8.01,1.69,5
"East Long Lake",1992,216,1992-08-03,0,380.62,9.27,21.37,4.78,5
"Paul Lake",1992,218,1992-08-05,0,495.36,11.21,10.53,2.32,10
"Peter Lake",1992,218,1992-08-05,0,376.94,7.52,8.97,3.83,8
"East Long Lake",1992,230,1992-08-17,0,399.07,9.35,22,3.66,1
"West Long Lake",1992,231,1992-08-18,0,382.08,13.15,19.49,0.05,1
"Paul Lake",1992,232,1992-08-19,0,490.26,9.61,16.77,0.5,1
"Peter Lake",1992,232,1992-08-19,0,301.57,9.04,22.25,0,1
"East Long Lake",1993,137,1993-05-17,0,616.026,17.773,7.855,2.044,4
"West Long Lake",1993,138,1993-05-18,0,465.68,11.783,3.336,1.328,1
"Peter Lake",1993,139,1993-05-19,0,373.081,18.534,0,5.497,1
"Paul Lake",1993,140,1993-05-20,0,248.665,10.697,0,1.147,2
"Central Long Lake",1993,141,1993-05-21,0,343.02,9.194,5.533,1.832,1
